Feature_Name,Coefficient,Odds_Ratio,Absolute_Coefficient
Alcohol Use,2.193754035142558,8.968819258593175,2.193754035142558
Cancer Stage,-1.53619739846376,0.21519785925070475,1.53619739846376
Metastasis,-0.4861932927006236,0.6149629279795125,0.4861932927006236
Tumor Type,0.01338895054114194,1.0134789839081453,0.01338895054114194
Tumor Size,-0.001411224593018715,0.9985897707161506,0.001411224593018715
Radiation Sessions,0.0,1.0,0.0
Chemotherapy Sessions,0.0,1.0,0.0
Age,0.0,1.0,0.0
Smoking Status,0.0,1.0,0.0
Gender (Male),0.0,1.0,0.0
Treatment Type,0.0,1.0,0.0
Waiting Time (Days),0.0,1.0,0.0
Treatment Complexity,0.0,1.0,0.0
